number,title,detail_url,dozierende
551-1421-00L,The Mechanisms of Natural Transformation in Competent Gram-Negative Bacteria,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193319&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Hospenthal
551-0337-00L,Cell Biology of the Nucleus,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194004&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"R. Kroschewski, Y. Barral, M. Jagannathan, S. Jessberger, K. Weis"
551-1525-00L,"Cancer Progression: Mechanisms, Targets and Therapeutic Approaches",https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193762&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"N. Aceto, W. Kovacs"
551-0352-00L,Introduction to Mass Spectrometry-Based Proteomics,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194607&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"L. Gillet, V. Cappelletti, P. Picotti"
551-0345-00L,Mechanisms of Bacterial Pathogenesis,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192606&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"W.‑D. Hardt, J. Newson"
551-0421-00L,Biologie und Ökologie der Pilze im Wald,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193754&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"S. Prospero, A. Gross, M. Peter Baltensweiler"
551-0351-00L,Membrane Biology,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194212&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"V. Korkhov, P. Isaikina, R. A. Kammerer, U. Kutay, S. C. Zeeman"
551-1201-00L,Computational Methods in Genome and Sequence Analysis,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194021&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,A. Wutz
551-0359-00L,Biochemistry and Molecular Cell Biology of Plants,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194051&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"S. C. Zeeman, B. Pfister"
551-1609-00L,Single Molecule Biophysics Studies of the Microtubule Cytoskeleton,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194573&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Wieczorek
529-0044-00L,Genetic Code Expansion for Studying Posttranslational Modifications,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192463&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"K. Lang, M. Fottner"
529-0739-01L,Biological Chemistry B: New Proteins from Directed Evolution Experiments,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192996&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"P. A. Kast, M. Levasseur"
551-0336-00L,Methods in Cellular Biochemistry,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193507&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"I. Zemp, T. Kleele, V. Korkhov, U. Kutay, T. Michaels, M. Peter"
551-1515-00L,Insulin Signaling,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193830&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Stoffel
752-4020-00L,Expt. Lebensmittelmikrobiologie für Biologen,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193726&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Schuppler, A. Harms, M. Loessner"
551-1119-00L,Microbial Community Genomics,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193171&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,S. Sunagawa
