number,title,detail_url,dozierende
101-0639-01L,Science and Engineering of Glass and Natural Stone in Construction,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192599&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"F. Wittel, T. Wangler"
101-0659-01L,Durability and Maintenance of Reinforced Concrete,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194488&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"U. Angst, S. Mundra, Z. Zhang"
101-0689-00L,Shrinkage and Cracking of Concrete: Mechanisms and Impact on Durability,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192998&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"P. Lura, M. Wyrzykowski"
101-0637-10L,Wood Structure and Function,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193971&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"I. Burgert, G. von Arx"
101-0637-20L,Wood processing,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193746&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"I. Burgert, S. Koch, M. Schubert"
101-0159-00L,Method of Finite Elements II,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193216&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"E. Chatzi, K. Tatsis, K. Vlachas"
101-0692-00L,Selected Topics in Computational Mechanics,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=196218&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Pundir
101-0198-10L,Project on Structural Engineering,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194073&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,
101-0298-10L,Project on Hydraulic Engineering and Water Resources Management,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192483&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,
101-0398-10L,Project on Geotechnical Engineering,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192848&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,
101-0498-10L,Project on Transport Systems,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192482&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,
101-0598-10L,Project on Construction and Maintenance Management,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192823&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,
101-0698-10L,Project on Materials and Mechanics,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194348&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,
